Store,Date,Weekly_Sales,Holiday_Flag,Temperature,Fuel_Price,CPI,Unemployment,Year,Month,Day,Week,Quarter,DayOfWeek,WeekOfYear,Month_Name,Year_Month,Lag_1,Rolling_Mean_4,Rolling_STD_4
1,2010-02-26,1409727.59,0,46.63,2.561,211.3196429,8.106,2010,2,26,8,1,Friday,8,February,2010-02,1611968.17,1576836.025,112353.41511397276
1,2010-03-05,1554806.68,0,46.5,2.625,211.3501429,8.106,2010,3,5,9,1,Friday,9,March,2010-03,1409727.59,1554614.9699999997,103135.00254832554
1,2010-03-12,1439541.59,0,57.79,2.667,211.3806429,8.106,2010,3,12,10,1,Friday,10,March,2010-03,1554806.68,1504011.0075,95360.05083899511
1,2010-03-19,1472515.79,0,54.58,2.72,211.215635,8.106,2010,3,19,11,1,Friday,11,March,2010-03,1439541.59,1469147.9125,62599.4571500743
1,2010-03-26,1404429.92,0,51.45,2.732,211.0180424,8.106,2010,3,26,12,1,Friday,12,March,2010-03,1472515.79,1467823.495,64308.38101632066
1,2010-04-02,1594968.28,0,62.27,2.719,210.8204499,7.808,2010,4,2,13,2,Friday,13,April,2010-04,1404429.92,1477863.895,82871.76229599727
1,2010-04-09,1545418.53,0,65.86,2.77,210.6228574,7.808,2010,4,9,14,2,Friday,14,April,2010-04,1594968.28,1504333.13,83458.04335445474
1,2010-04-16,1466058.28,0,66.32,2.808,210.4887,7.808,2010,4,16,15,2,Friday,15,April,2010-04,1545418.53,1502718.7525,84336.49103572944
1,2010-04-23,1391256.12,0,64.84,2.795,210.4391228,7.808,2010,4,23,16,2,Friday,16,April,2010-04,1466058.28,1499425.3025,89550.29826614384
1,2010-04-30,1425100.71,0,67.41,2.78,210.3895456,7.808,2010,4,30,17,2,Friday,17,April,2010-04,1391256.12,1456958.41,66432.18202288529
1,2010-05-07,1603955.12,0,72.55,2.835,210.3399684,7.808,2010,5,7,18,2,Friday,18,May,2010-05,1425100.71,1471592.5575,93391.49007121939
1,2010-05-14,1494251.5,0,74.78,2.854,210.3374261,7.808,2010,5,14,19,2,Friday,19,May,2010-05,1603955.12,1478640.8625,93897.10021693469
1,2010-05-21,1399662.07,0,76.44,2.826,210.6170934,7.808,2010,5,21,20,2,Friday,20,May,2010-05,1494251.5,1480742.35,91348.94221530126
1,2010-05-28,1432069.95,0,80.44,2.759,210.8967606,7.808,2010,5,28,21,2,Friday,21,May,2010-05,1399662.07,1482484.6600000001,89990.28757758501
1,2010-06-04,1615524.71,0,80.69,2.705,211.1764278,7.808,2010,6,4,22,2,Friday,22,June,2010-06,1432069.95,1485377.0575,95229.32666829095
1,2010-06-11,1542561.09,0,80.43,2.668,211.4560951,7.808,2010,6,11,23,2,Friday,23,June,2010-06,1615524.71,1497454.455,99688.97915495554
1,2010-06-18,1503284.06,0,84.11,2.637,211.4537719,7.808,2010,6,18,24,2,Friday,24,June,2010-06,1542561.09,1523359.9525,76594.02113840077
1,2010-06-25,1422711.6,0,84.34,2.653,211.3386526,7.808,2010,6,25,25,2,Friday,25,June,2010-06,1503284.06,1521020.365,80362.22961956475
1,2010-07-02,1492418.14,0,80.91,2.669,211.2235333,7.787,2010,7,2,26,3,Friday,26,July,2010-07,1422711.6,1490243.7225,49908.15900252272
1,2010-07-09,1546074.18,0,80.48,2.642,211.108414,7.787,2010,7,9,27,3,Friday,27,July,2010-07,1492418.14,1491121.9949999999,51151.15051575243
1,2010-07-16,1448938.92,0,83.15,2.623,211.1003854,7.787,2010,7,16,28,3,Friday,28,July,2010-07,1546074.18,1477535.71,53982.92331296985
1,2010-07-23,1385065.2,0,83.36,2.608,211.2351443,7.787,2010,7,23,29,3,Friday,29,July,2010-07,1448938.92,1468124.1099999999,68149.99963895802
1,2010-07-30,1371986.6,0,81.84,2.64,211.3699032,7.787,2010,7,30,30,3,Friday,30,July,2010-07,1385065.2,1438016.225,79497.4828344398
1,2010-08-06,1605491.78,0,87.16,2.627,211.5046621,7.787,2010,8,6,31,3,Friday,31,August,2010-08,1371986.6,1452870.625,107157.94638036602
1,2010-08-13,1508237.76,0,87.0,2.692,211.6394211,7.787,2010,8,13,32,3,Friday,32,August,2010-08,1605491.78,1467695.335,110482.9544091712
1,2010-08-20,1513080.49,0,86.65,2.664,211.6033633,7.787,2010,8,20,33,3,Friday,33,August,2010-08,1508237.76,1499699.1575,96184.79455497244
1,2010-08-27,1449142.92,0,85.22,2.619,211.5673056,7.787,2010,8,27,34,3,Friday,34,August,2010-08,1513080.49,1518988.2374999998,64579.938806430226
1,2010-09-03,1540163.53,0,81.21,2.577,211.5312479,7.787,2010,9,3,35,3,Friday,35,September,2010-09,1449142.92,1502656.175,38341.842131551464
1,2010-09-10,1507460.69,1,78.69,2.565,211.4951902,7.787,2010,9,10,36,3,Friday,36,September,2010-09,1540163.53,1502461.9074999997,38306.08693123161
1,2010-09-17,1430378.67,0,82.11,2.582,211.5224596,7.787,2010,9,17,37,3,Friday,37,September,2010-09,1507460.69,1481786.4525000001,50909.75664281918
1,2010-09-24,1351791.03,0,80.94,2.624,211.5972246,7.787,2010,9,24,38,3,Friday,38,September,2010-09,1430378.67,1457448.48,84141.29386439837
1,2010-10-01,1453329.5,0,71.89,2.603,211.6719895,7.838,2010,10,1,39,4,Friday,39,October,2010-10,1351791.03,1435739.9725,64625.64327920404
1,2010-10-08,1508239.93,0,63.93,2.633,211.7467544,7.838,2010,10,8,40,4,Friday,40,October,2010-10,1453329.5,1435934.7824999997,64914.43604929847
1,2010-10-15,1459409.1,0,67.18,2.72,211.8137436,7.838,2010,10,15,41,4,Friday,41,October,2010-10,1508239.93,1443192.39,65704.22044353343
1,2010-10-22,1345454.0,0,69.86,2.725,211.8612937,7.838,2010,10,22,42,4,Friday,42,October,2010-10,1459409.1,1441608.1325,68652.94005579711
1,2010-10-29,1384209.22,0,69.64,2.716,211.9088438,7.838,2010,10,29,43,4,Friday,43,October,2010-10,1345454.0,1424328.0625,73263.26946523674
1,2010-11-05,1551659.28,0,58.74,2.689,211.9563939,7.838,2010,11,5,44,4,Friday,44,November,2010-11,1384209.22,1435182.9,90927.16391393862
1,2010-11-12,1494479.49,0,59.61,2.728,212.003944,7.838,2010,11,12,45,4,Friday,45,November,2010-11,1551659.28,1443950.4975,95611.96084137318
1,2010-11-19,1483784.18,0,51.41,2.771,211.8896737,7.838,2010,11,19,46,4,Friday,46,November,2010-11,1494479.49,1478533.0425,69585.18456978216
1,2010-11-26,1955624.11,1,64.52,2.735,211.7484333,7.838,2010,11,26,47,4,Friday,47,November,2010-11,1483784.18,1621386.765,224808.4019809472
1,2010-12-03,1548033.78,0,49.27,2.708,211.607193,7.838,2010,12,3,48,4,Friday,48,December,2010-12,1955624.11,1620480.39,225190.21958121238
1,2010-12-10,1682614.26,0,46.33,2.843,211.4659526,7.838,2010,12,10,49,4,Friday,49,December,2010-12,1548033.78,1667514.0825,209179.04855628058
1,2010-12-17,1891034.93,0,49.84,2.869,211.4053124,7.838,2010,12,17,50,4,Friday,50,December,2010-12,1682614.26,1769326.77,187979.80557788638
1,2010-12-24,2387950.2,0,52.33,2.886,211.4051222,7.838,2010,12,24,51,4,Friday,51,December,2010-12,1891034.93,1877408.2925,368452.17199591256
1,2010-12-31,1367320.01,1,48.43,2.943,211.4049321,7.838,2010,12,31,52,4,Friday,52,December,2010-12,2387950.2,1832229.85,428489.2565505779
1,2011-01-07,1444732.28,0,48.27,2.976,211.4047419,7.742,2011,1,7,1,1,Friday,1,January,2011-01,1367320.01,1772759.355,470613.6815621626
1,2011-01-14,1391013.96,0,35.4,2.983,211.4574109,7.742,2011,1,14,2,1,Friday,2,January,2011-01,1444732.28,1647754.1125000003,494525.666395813
1,2011-01-21,1327405.42,0,44.04,3.016,211.8272343,7.742,2011,1,21,3,1,Friday,3,January,2011-01,1391013.96,1382617.9175,49027.656863276796
1,2011-01-28,1316899.31,0,43.83,3.01,212.1970577,7.742,2011,1,28,4,1,Friday,4,January,2011-01,1327405.42,1370012.7425,59611.18760559322
1,2011-02-04,1606629.58,0,42.27,2.989,212.5668812,7.742,2011,2,4,5,1,Friday,5,February,2011-02,1316899.31,1410487.0675,134799.00547446244
1,2011-02-11,1649614.93,1,36.39,3.022,212.9367046,7.742,2011,2,11,6,1,Friday,6,February,2011-02,1606629.58,1475137.31,177573.11444171303
1,2011-02-18,1686842.78,0,57.36,3.045,213.2478853,7.742,2011,2,18,7,1,Friday,7,February,2011-02,1649614.93,1564996.65,168614.2774516193
1,2011-02-25,1456800.28,0,62.9,3.065,213.535609,7.742,2011,2,25,8,1,Friday,8,February,2011-02,1686842.78,1599971.8924999998,100918.14784923608
1,2011-03-04,1636263.41,0,59.58,3.288,213.8233327,7.742,2011,3,4,9,1,Friday,9,March,2011-03,1456800.28,1607380.35,102642.7886173674
1,2011-03-11,1553191.63,0,53.56,3.459,214.1110564,7.742,2011,3,11,10,1,Friday,10,March,2011-03,1636263.41,1583274.525,100722.259369
1,2011-03-18,1576818.06,0,62.76,3.488,214.3627114,7.742,2011,3,18,11,1,Friday,11,March,2011-03,1553191.63,1555768.3450000002,74663.38536161272
1,2011-03-25,1541102.38,0,69.97,3.473,214.5999389,7.742,2011,3,25,12,1,Friday,12,March,2011-03,1576818.06,1576843.87,42298.79810902612
1,2011-04-01,1495064.75,0,59.17,3.524,214.8371664,7.682,2011,4,1,13,2,Friday,13,April,2011-04,1541102.38,1541544.205,34353.27399302004
1,2011-04-08,1614259.35,0,67.84,3.622,215.0743939,7.682,2011,4,8,14,2,Friday,14,April,2011-04,1495064.75,1556811.135,50859.137162884435
1,2011-04-15,1559889.0,0,71.27,3.743,215.2918561,7.682,2011,4,15,15,2,Friday,15,April,2011-04,1614259.35,1552578.87,49320.392792910694
1,2011-04-22,1564819.81,0,72.99,3.807,215.4599053,7.682,2011,4,22,16,2,Friday,16,April,2011-04,1559889.0,1558508.2275,48904.68656360464
1,2011-04-29,1455090.69,0,72.03,3.81,215.6279544,7.682,2011,4,29,17,2,Friday,17,April,2011-04,1564819.81,1548514.7125,66946.83452985478
1,2011-05-06,1629391.28,0,64.61,3.906,215.7960035,7.682,2011,5,6,18,2,Friday,18,May,2011-05,1455090.69,1552297.695,72127.32710260303
1,2011-05-13,1604775.58,0,75.64,3.899,215.9640526,7.682,2011,5,13,19,2,Friday,19,May,2011-05,1629391.28,1563519.34,77027.38296939983
1,2011-05-20,1428218.27,0,67.63,3.907,215.7339202,7.682,2011,5,20,20,2,Friday,20,May,2011-05,1604775.58,1529368.955,102370.80690586701
1,2011-05-27,1466046.67,0,77.72,3.786,215.5037878,7.682,2011,5,27,21,2,Friday,21,May,2011-05,1428218.27,1532107.95,99836.18093564716
1,2011-06-03,1635078.41,0,83.0,3.699,215.2736553,7.682,2011,6,3,22,2,Friday,22,June,2011-06,1466046.67,1533529.7325,101706.39531884459
1,2011-06-10,1588948.32,0,83.13,3.648,215.0435229,7.682,2011,6,10,23,2,Friday,23,June,2011-06,1635078.41,1529572.9175,98260.19211085142
1,2011-06-17,1532114.86,0,86.41,3.637,214.9980596,7.682,2011,6,17,24,2,Friday,24,June,2011-06,1588948.32,1555547.065,73030.28506357533
1,2011-06-24,1438830.15,0,83.58,3.594,215.0910982,7.682,2011,6,24,25,2,Friday,25,June,2011-06,1532114.86,1548742.935,84513.5105789499
1,2011-07-01,1488538.09,0,85.55,3.524,215.1841368,7.962,2011,7,1,26,3,Friday,26,July,2011-07,1438830.15,1512107.855,63848.500850862445
1,2011-07-08,1534849.64,0,85.83,3.48,215.2771754,7.962,2011,7,8,27,3,Friday,27,July,2011-07,1488538.09,1498583.185,45132.98170164172
1,2011-07-15,1455119.97,0,88.54,3.575,215.3611087,7.962,2011,7,15,28,3,Friday,28,July,2011-07,1534849.64,1479334.4625000001,42401.189724443655
1,2011-07-22,1396926.82,0,85.77,3.651,215.4222784,7.962,2011,7,22,29,3,Friday,29,July,2011-07,1455119.97,1468858.63,58037.43221744261
1,2011-07-29,1352219.79,0,86.83,3.682,215.4834482,7.962,2011,7,29,30,3,Friday,30,July,2011-07,1396926.82,1434779.0550000002,78902.25754504606
1,2011-08-05,1624383.75,0,91.65,3.684,215.544618,7.962,2011,8,5,31,3,Friday,31,August,2011-08,1352219.79,1457162.5825,119175.5398666774
1,2011-08-12,1525147.09,0,90.76,3.638,215.6057878,7.962,2011,8,12,32,3,Friday,32,August,2011-08,1624383.75,1474669.3625,123828.10601510033
